Course ID,Type,Identifier,Topic Name,Topic Link,Entity Type
40355,Slide,3,Perceptron,http://dbpedia.org/resource/Perceptron,ORG
40355,Slide,3,Keras,http://dbpedia.org/resource/Keras,ORG
40355,Slide,3,Word Vectors,http://dbpedia.org/resource/Word_embedding,ORG
40355,Slide,3,Japan,http://dbpedia.org/resource/Japan,GPE
40355,Slide,3,Sushi,http://dbpedia.org/resource/Sushi,GPE
40355,Slide,3,Germany,http://dbpedia.org/resource/Germany,GPE
40355,Slide,3,XOR,http://dbpedia.org/resource/Exclusive_or,ORG
40355,Slide,3,MIT Press,http://dbpedia.org/resource/MIT_Press,ORG
40355,Slide,3,numpy,http://dbpedia.org/resource/NumPy,NORP
40355,Slide,3,Louis Pasteur,http://dbpedia.org/resource/Louis_Pasteur,PERSON
40355,Slide,3,Google,http://dbpedia.org/resource/Google,ORG
40355,Slide,3,Google News,http://dbpedia.org/resource/Google_News,ORG
40355,Slide,3,Harry Potter,http://dbpedia.org/resource/Harry_Potter,PERSON
40355,Slide,3,skip-gram,http://dbpedia.org/resource/N-gram,QUANTITY
40355,Slide,3,Monet,http://dbpedia.org/resource/Claude_Monet,ORG
40355,Slide,3,Berlin,http://dbpedia.org/resource/Berlin,GPE
40355,Slide,3,Pros & Cons,http://dbpedia.org/resource/Pros_&_Cons,ORG
40355,Slide,3,New York,http://dbpedia.org/resource/New_York_City,GPE
40355,Slide,3,PCA,http://dbpedia.org/resource/Principal_component_analysis,ORG
40355,Slide,3,Cole Howard,http://dbpedia.org/resource/Cole_Howard,PERSON
40355,Slide,3,CNN,http://dbpedia.org/resource/Convolutional_neural_network,ORG
40355,Slide,3,DL,http://dbpedia.org/resource/X86,ORG
40355,Slide,3,kernel,http://dbpedia.org/resource/Kernel_method,PERSON
40355,Slide,3,Overfitting,http://dbpedia.org/resource/Overfitting,ORG
40355,Slide,3,IMDB,http://dbpedia.org/resource/IMDb,ORG
40355,Slide,3,Jeremy Brett,http://dbpedia.org/resource/Jeremy_Brett,PERSON
40355,Slide,3,David Foster,http://dbpedia.org/resource/David_Foster,PERSON
40355,Slide,4,Recommender Systems,http://dbpedia.org/resource/Recommender_system,PERSON
40355,Slide,4,Concordia University,http://dbpedia.org/resource/Main_Page,ORG
40355,Slide,4,Steve Jobs,http://dbpedia.org/resource/Steve_Jobs,PERSON
40355,Slide,4,English,http://dbpedia.org/resource/English_language,NORP
40355,Slide,4,French,http://dbpedia.org/resource/French_language,LANGUAGE
40355,Slide,4,UIMA,http://dbpedia.org/resource/UIMA,ORG
40355,Slide,4,GATE,http://dbpedia.org/resource/General_Architecture_for_Text_Engineering,ORG
40355,Slide,4,Refinitiv,http://dbpedia.org/resource/Refinitiv,ORG
40355,Slide,4,Machine Learning,http://dbpedia.org/resource/Machine_learning,PERSON
40355,Slide,4,IBM,http://dbpedia.org/resource/IBM,ORG
40355,Slide,4,LOD,http://dbpedia.org/resource/Genetic_linkage,ORG
40355,Slide,4,RDF,http://dbpedia.org/resource/Resource_Description_Framework,ORG
40355,Slide,4,Mona Lisa,http://dbpedia.org/resource/Mona_Lisa,WORK_OF_ART
40355,Slide,4,DBpedia,http://dbpedia.org/resource/DBpedia,GPE
