 "topic" , "tname" ,
 "http://dbpedia.org/resource/Apache_OpenNLP" , "OpenNLP" ,
 "http://dbpedia.org/resource/Metropolis" , "Metropolis" ,
 "http://dbpedia.org/resource/Library_of_Congress" , "LOC" ,
 "http://dbpedia.org/resource/Paris_Hilton" , "Paris Hilton" ,
 "http://dbpedia.org/resource/BabelNet" , "BabelNet" ,
 "http://dbpedia.org/resource/Computational_humor" , "JAPE" ,
 "http://dbpedia.org/resource/MIT_Press" , "MIT Press" ,
 "http://dbpedia.org/resource/Java_virtual_machine" , "Java" ,
 "http://dbpedia.org/resource/Unicode" , "Unicode" ,
 "http://dbpedia.org/resource/Amazon_Alexa" , "Amazon Alexa" ,
 "http://dbpedia.org/resource/Pros_&_Cons" , "Pros & Cons" ,
 "http://dbpedia.org/resource/Deep_learning" , "Deep Learning" ,
 "http://dbpedia.org/resource/Boolean_algebra" , "Boolean" ,
 "http://dbpedia.org/resource/Quebec" , "Quebec" ,
 "http://dbpedia.org/resource/Ope" , "OPE" ,
 "http://dbpedia.org/resource/David_Foster" , "David Foster" ,
 "http://dbpedia.org/resource/Keras" , "Keras" ,
 "http://dbpedia.org/resource/Terry_Winograd" , "Winograd" ,
 "http://dbpedia.org/resource/Cham_Albanians" , "Cham" ,
 "http://dbpedia.org/resource/Amazon_rainforest" , "Amazon" ,
 "http://dbpedia.org/resource/PyTorch" , "PyTorch" ,
 "http://dbpedia.org/resource/French_language" , "French" ,
 "http://dbpedia.org/resource/Google" , "Google" ,
 "http://dbpedia.org/resource/Netflix" , "Netflix" ,
 "http://dbpedia.org/resource/PHP" , "PHP" ,
 "http://dbpedia.org/resource/Perceptron" , "Perceptron" ,
 "http://dbpedia.org/resource/Smallville" , "Smallville" ,
 "http://dbpedia.org/resource/Simpson_family" , "Snowball" ,
 "http://dbpedia.org/resource/Lemmatisation" , "Lemmatization" ,
 "http://dbpedia.org/resource/Cole_Porter" , "Porter" ,
 "http://dbpedia.org/resource/Aspergillus" , "Aspergillus" ,
 "http://dbpedia.org/resource/Chavacano" , "Chabacano" ,
 "http://dbpedia.org/resource/IBM" , "IBM" ,
 "http://dbpedia.org/resource/Superman" , "Superman" ,
 "http://dbpedia.org/resource/New_York_City" , "New York" ,
 "http://dbpedia.org/resource/SPARQL" , "SPARQL" ,
 "http://dbpedia.org/resource/Nazi_Germany" , "Germany" ,
 "http://dbpedia.org/resource/Associated_Press" , "AP" ,
 "http://dbpedia.org/resource/David_Rumelhart" , "Rumelhart" ,
 "http://dbpedia.org/resource/MOS_Technology_TED" , "TED" ,
 "http://dbpedia.org/resource/Gartner" , "Gartner" ,
 "http://dbpedia.org/resource/Artificial_intelligence" , "Intelligent Systems" ,
 "http://dbpedia.org/resource/The_Artist_and_Journal_of_Home_Culture" , "The Artist" ,
 "http://dbpedia.org/resource/Jeremy_Brett" , "Jeremy Brett" ,
 "http://dbpedia.org/resource/Stanford_University" , "Stanford" ,
 "http://dbpedia.org/resource/EC_(programming_language)" , "ec" ,
 "http://dbpedia.org/resource/MAX_Light_Rail" , "MAX" ,
 "http://dbpedia.org/resource/IMDb" , "IMDB" ,
 "http://dbpedia.org/resource/Lex_Luthor" , "Lex Luthor" ,
 "http://dbpedia.org/resource/GPE_Palmtop_Environment" , "GPE" ,
 "http://dbpedia.org/resource/Convolutional_neural_network" , "CNN" ,
 "http://dbpedia.org/resource/Resource_Description_Framework" , "RDF" ,
 "http://dbpedia.org/resource/Chapter_11,_Title_11,_United_States_Code" , "Chapter 11" ,
 "http://dbpedia.org/resource/FOAF_(ontology)" , "FOAF" ,
 "http://dbpedia.org/resource/Monty_Python" , "Python" ,
 "http://dbpedia.org/resource/Anthony_Julius" , "Anthony Julius" ,
 "http://dbpedia.org/resource/Calais_(Reuters_product)" , "OpenCalais" ,
 "http://dbpedia.org/resource/UniProt" , "UniProt" ,
 "http://dbpedia.org/resource/Catholic_Church" , "Roman Catholic Church" ,
 "http://dbpedia.org/resource/Cole_Howard" , "Cole Howard" ,
 "http://dbpedia.org/resource/Nile" , "Nile" ,
 "http://dbpedia.org/resource/Mary_Shelley" , "Mary" ,
 "http://dbpedia.org/resource/Julia_the_Elder" , "Julia" ,
 "http://dbpedia.org/resource/Jonathan_and_Martha_Kent" , "Martha Kent" ,
 "http://dbpedia.org/resource/Springer_Nature" , "Springer International Publishing" ,
 "http://dbpedia.org/resource/Microsoft_Windows" , "Windows" ,
 "http://dbpedia.org/resource/BSD_licenses" , "BSD License" ,
 "http://dbpedia.org/resource/Zootopia" , "Zootopia" ,
 "http://dbpedia.org/resource/Loyola_University_Maryland" , "Loyola College" ,
 "http://dbpedia.org/resource/Daily_Planet" , "Daily Planet" ,
 "http://dbpedia.org/resource/International_Organization_for_Standardization" , "ISO" ,
 "http://dbpedia.org/resource/AVG_AntiVirus" , "AVG" ,
 "http://dbpedia.org/resource/Apache_Lucene" , "Lucene" ,
 "http://dbpedia.org/resource/Siri" , "Apple Siri" ,
 "http://dbpedia.org/resource/WordNet" , "WordNet" ,
 "http://dbpedia.org/resource/Steve_Jobs" , "Steve Jobs" ,
 "http://dbpedia.org/resource/John_Lennon" , "Lennon" ,
 "http://dbpedia.org/resource/Berlin" , "Berlin" ,
 "http://dbpedia.org/resource/Perry_White" , "Perry White" ,
 "http://dbpedia.org/resource/Overfitting" , "Overfitting" ,
 "http://dbpedia.org/resource/Westworld" , "Westworld" ,
 "http://dbpedia.org/resource/Hilton_Worldwide" , "Hilton" ,
 "http://dbpedia.org/resource/Red_Queen_hypothesis" , "Red Queen" ,
 "http://dbpedia.org/resource/Apache_HTTP_Server" , "Apache" ,
 "http://dbpedia.org/resource/Cambridge_Analytica" , "Cambridge Analytica" ,
 "http://dbpedia.org/resource/American_English" , "American" ,
 "http://dbpedia.org/resource/Liverpool" , "Liverpool" ,
 "http://dbpedia.org/resource/MusicBrainz" , "MusicBrainz" ,
 "http://dbpedia.org/resource/Canada" , "Canada" ,
 "http://dbpedia.org/resource/Facebook" , "Facebook" ,
 "http://dbpedia.org/resource/Daniel_Jurafsky" , "Daniel Jurafsky" ,
 "http://dbpedia.org/resource/Tim_Berners-Lee" , "Tim Berners-Lee" ,
 "http://dbpedia.org/resource/VVV-Venlo" , "vvv" ,
 "http://dbpedia.org/resource/GNU_Lesser_General_Public_License" , "LGPL" ,
 "http://dbpedia.org/resource/Knowledge_Navigator" , "Knowledge Navigator" ,
 "http://dbpedia.org/resource/Natural_Language_Toolkit" , "NLTK" ,
 "http://dbpedia.org/resource/Web_Ontology_Language" , "OWL" ,
 "http://dbpedia.org/resource/Prentice_Hall" , "Prentice Hall" ,
 "http://dbpedia.org/resource/Gifted_education" , "GATE" ,
 "http://dbpedia.org/resource/Prabhakar_Raghavan" , "Prabhakar Raghavan" ,
 "http://dbpedia.org/resource/Fuseki" , "Fuseki" ,
 "http://dbpedia.org/resource/Google_Search" , "Google Search" ,
 "http://dbpedia.org/resource/Dublin_Core" , "Dublin Core" ,
 "http://dbpedia.org/resource/Principal_component_analysis" , "PCA" ,
 "http://dbpedia.org/resource/Wikidata" , "Wikidata" ,
 "http://dbpedia.org/resource/Japan" , "Japan" ,
 "http://dbpedia.org/resource/World_Wide_Web" , "WWW" ,
 "http://dbpedia.org/resource/Stephanie_Brown_(character)" , "Spoiler" ,
