CourseId,Id,ContentType,Content
40355,1,Slide,/University/COMP6741/Lectures/Slide01.pdf
40355,2,Slide,/University/COMP6741/Lectures/Slide02.pdf
40355,3,Slide,/University/COMP6741/Lectures/Slide03.pdf
40355,4,Slide,/University/COMP6741/Lectures/Slide04.pdf
40355,5,Slide,/University/COMP6741/Lectures/Slide05.pdf
40355,6,Slide,/University/COMP6741/Lectures/Slide06.pdf
40355,7,Slide,/University/COMP6741/Lectures/Slide07.pdf
40355,1,Worksheet,/University/COMP6741/Worksheets/Worksheet01.pdf
40355,2,Worksheet,/University/COMP6741/Worksheets/Worksheet02.pdf
40355,3,Worksheet,/University/COMP6741/Worksheets/Worksheet03.pdf
40355,4,Worksheet,/University/COMP6741/Worksheets/Worksheet04.pdf
40355,5,Worksheet,/University/COMP6741/Worksheets/Worksheet05.pdf
40355,6,Worksheet,/University/COMP6741/Worksheets/Worksheet06.pdf
40355,1,READING,https://plato.stanford.edu/entries/artificial-intelligence/
40355,1,READING,https://en.wikipedia.org/wiki/ELIZA
40355,1,READING,https://en.wikipedia.org/wiki/Watson_(computer)
40355,1,OTHER,https://venturebeat.com/2017/06/26/bot-analytics-platform-releases-new-chatbot-landscape/
40355,1,OTHER,https://chatbotslife.com/ultimate-guide-to-leveraging-nlp-machine-learning-for-you-chatbot-531ff2dd870c
40355,1,OTHER,http://www.aaai.org/Magazine/Watson/watson.php
40355,2,READING,https://concordiauniversity.on.worldcat.org/oclc/897466408
40355,2,OTHER,http://www.w3.org/TR/rdf11-primer/
40355,2,OTHER,https://encore.concordia.ca/iii/encore/record/C__Rb2591108?lang=eng
40355,2,OTHER,http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/
40355,2,OTHER,https://www.youtube.com/watch?v=2ZzGMzitNgo
40355,3,READING,https://concordiauniversity.on.worldcat.org/oclc/897466408
40355,3,OTHER,https://mercury.concordia.ca/record=b2680281
40355,3,OTHER,http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/
40355,3,OTHER,http://www.w3.org/TR/rdf11-primer/
40355,4,READING,https://concordiauniversity.on.worldcat.org/oclc/897466408
40355,4,OTHER,https://www.w3.org/TR/sparql11-overview/
40355,4,OTHER,https://concordiauniversity.on.worldcat.org/oclc/769756125
40355,4,OTHER,https://concordiauniversity.on.worldcat.org/oclc/853679890
40355,4,OTHER,http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/
40355,4,OTHER,https://mercury.concordia.ca/record=b2680281
40355,5,READING,https://concordiauniversity.on.worldcat.org/oclc/897466408
40355,5,OTHER,https://concordiauniversity.on.worldcat.org/oclc/769756125
40355,5,OTHER,https://concordiauniversity.on.worldcat.org/oclc/853679890
40355,5,OTHER,https://concordiauniversity.on.worldcat.org/oclc/704257552
40355,5,OTHER,http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/
40355,5,OTHER,https://link.springer.com/chapter/10.1007/978-3-030-59833-4_1
40355,5,OTHER,https://concordiauniversity.on.worldcat.org/oclc/871683907
40355,6,READING,https://concordiauniversity.on.worldcat.org/oclc/314121652
40355,6,READING,http://informationretrieval.org/
40355,6,OTHER,https://concordiauniversity.on.worldcat.org/oclc/954339855
40355,7,READING,https://concordiauniversity.on.worldcat.org/oclc/960211579
